year,reporter_id,reporter_name,partner_id,partner_name,wits_import_trade_value_usd_thousands,wits_import_trade_value_usd,wits_bilateral_weighted_tariff_pct,wits_bilateral_simple_tariff_pct,wits_tariff_agreement_count,wits_rta_in_force
2023,AGO,Angola,MMR,Myanmar,16.310777,16310.777000000002,10.0,10.0,,
2023,AGO,Angola,MOZ,Mozambique,4046.724369,4046724.369,1.39712010991959,13.7578124944121,,
2023,AGO,Angola,MRT,Mauritania,4034.025769,4034025.769,12.8937136446976,8.2469135677373,,
2023,AGO,Angola,MUS,Mauritius,1598.390128,1598390.128,12.1050859015016,10.4691357789216,,
2023,AGO,Angola,MWI,Malawi,3.556725,3556.7250000000004,0.0,0.0,,
2023,AGO,Angola,MYS,Malaysia,199152.204846,199152204.84600002,4.39825244251992,11.6651162774064,,
2023,AGO,Angola,NAM,Namibia,54811.627047,54811627.047,20.3234008412708,12.8328019826496,,
2023,AGO,Angola,NER,Niger,47.52076,47520.76,0.746519163414053,3.55555555555556,,
2023,AGO,Angola,NGA,Nigeria,7947.132939,7947132.939,4.93696366254846,13.8300330004901,,
2023,AGO,Angola,NIC,Nicaragua,242.303496,242303.49599999998,7.84173030864899,10.9333333333333,,
2023,AGO,Angola,NOR,Norway,146000.524532,146000524.532,3.76288075525299,10.0330207096315,,
2023,AGO,Angola,NPL,Nepal,0.038132,38.132,10.0,10.0,,
2023,AGO,Angola,NZL,New Zealand,5649.851783,5649851.783,16.2080080423313,6.39444443384806,,
2023,AGO,Angola,OMN,Oman,681.678223,681678.223,16.3452641960089,15.7460317157564,,
2023,AGO,Angola,PAK,Pakistan,13773.255725,13773255.725000001,25.4906325137976,14.49540518101,,
2023,AGO,Angola,PAN,Panama,3172.833729,3172833.729,11.0856879594015,11.529166674614,,
2023,AGO,Angola,PER,Peru,102.506063,102506.063,18.5735831239173,11.411111108462,,
2023,AGO,Angola,PHL,Philippines,926.864851,926864.851,2.75826966440219,7.31282051159785,,
2023,AGO,Angola,PNG,Papua New Guinea,0.606776,606.776,10.0,10.0,,
2023,AGO,Angola,PRK,"Korea, Democratic People's Republic of",10181.108868,10181108.867999999,10.1206374900442,7.84699454463896,,
2023,AGO,Angola,PRY,Paraguay,2145.45688,2145456.8800000004,5.33310231835883,9.47368421052632,,
2023,AGO,Angola,QAT,Qatar,15653.408862,15653408.862,17.1502674651055,12.1892091604136,,
2023,AGO,Angola,RUS,Russia,89108.178394,89108178.39400001,0.316039238071661,9.8396624462514,,
2023,AGO,Angola,RWA,Rwanda,6.66923,6669.23,13.4568024964809,20.3333333333333,,
2023,AGO,Angola,SAU,Saudi Arabia,168746.640949,168746640.949,5.07279256083711,10.7491039422251,,
2023,AGO,Angola,SEN,Senegal,2760.294601,2760294.6010000003,1.80173629748937,9.74102564041431,,
2023,AGO,Angola,SGP,Singapore,224629.884822,224629884.822,3.2065731467506,10.1966170068116,,
2023,AGO,Angola,SLE,Sierra Leone,277.520929,277520.929,2.0,2.0,,
2023,AGO,Angola,SLV,El Salvador,3.983389,3983.3889999999997,13.0076291801707,10.0,,
2023,AGO,Angola,SOM,Somalia,2.652916,2652.9159999999997,37.3940637396736,20.0,,
2023,AGO,Angola,STP,Sao Tome and Principe,344.927523,344927.523,13.216182921952,20.5714285714286,,
2023,AGO,Angola,SUR,Suriname,108.285313,108285.31300000001,5.74648807131595,6.18055555224419,,
2023,AGO,Angola,SWZ,Eswatini,494.728507,494728.507,2.05206370241449,3.73999998569489,,
2023,AGO,Angola,SYC,Seychelles,38.37145,38371.450000000004,3.25976391301345,5.375,,
2023,AGO,Angola,SYR,Syrian Arab Republic,3.525476,3525.4759999999997,0.759278815320594,26.6666666666667,,
2023,AGO,Angola,TCD,Chad,0.070007,70.007,40.0,40.0,,
2023,AGO,Angola,TGO,Togo,852167.166743,852167166.743,34.5782468991669,27.5392156839371,,
2023,AGO,Angola,THA,Thailand,144665.219066,144665219.06599998,3.0737026786454,12.0176415968074,,
2023,AGO,Angola,TJK,Tajikistan,0.470275,470.275,20.0,20.0,,
2023,AGO,Angola,TKM,Turkmenistan,8.551862,8551.862,39.6809357617219,33.3333333134651,,
2023,AGO,Angola,TTO,Trinidad and Tobago,480.162788,480162.788,0.986209761712005,6.93827160199483,,
2023,AGO,Angola,TUN,Tunisia,11110.963606,11110963.605999999,5.95110036857511,13.7631578947368,,
2023,AGO,Angola,TUR,Turkey,161064.089643,161064089.643,19.2010071415744,12.8869787851388,,
2023,AGO,Angola,TZA,"Tanzania, United Republic of",748.664015,748664.0149999999,17.6055976825974,14.7867494740101,,
2023,AGO,Angola,UGA,Uganda,10494.717979,10494717.978999998,59.8717743208706,21.0666666666667,,
2023,AGO,Angola,UKR,Ukraine,7880.28409,7880284.09,1.86651625066258,8.53153153045757,,
2023,AGO,Angola,UMI,United States Minor Outlying Islands,1.482113,1482.113,0.0,0.0,,
2023,AGO,Angola,URY,Uruguay,2391.596993,2391596.9930000002,11.997774440923,6.22666664123535,,
2023,AGO,Angola,USA,United States,890301.943978,890301943.9779999,4.22747814127248,11.4276237322521,,
2023,AGO,Angola,UZB,Uzbekistan,0.04159,41.59,26.7489781197403,22.5,,
2023,AGO,Angola,VAT,Holy See (Vatican City State),0.241473,241.47299999999998,2.0,2.0,,
2023,AGO,Angola,VCT,Saint Vincent and the Grenadines,16.629135,16629.135000000002,14.0505710008368,6.57142857142857,,
2023,AGO,Angola,VEN,"Venezuela, Bolivarian Republic of",2.656593,2656.593,22.9376648963541,26.6666666666667,,
2023,AGO,Angola,VNM,Viet Nam,17298.791396,17298791.396,10.5114923702805,11.5763536361873,,
2023,AGO,Angola,VUT,Vanuatu,1.412622,1412.622,11.7110286481654,14.0869565217391,,
2023,AGO,Angola,ZAF,South Africa,485400.574023,485400574.023,13.9753352630667,12.4637261985957,,
2023,AGO,Angola,ZMB,Zambia,7102.721112,7102721.112,8.80690171170973,15.5837837837838,,
2023,AGO,Angola,ZWE,Zimbabwe,1145.100319,1145100.319,0.626249749893206,12.8217054245084,,
