actor_id,iso3,display_name,actor_type,current_active_flag,wto_reporter_code,canonical_name,review_status,ttd_reporter_supported,keep_active,review_notes
MDG,MDG,Madagascar,country,yes,450,Madagascar,reviewed,yes,yes,
MDV,MDV,Maldives,country,yes,462,Maldives,reviewed,yes,yes,
MEX,MEX,Mexico,country,yes,484,Mexico,reviewed,yes,yes,
MHL,MHL,Marshall Islands,country,yes,584,Marshall Islands,reviewed,no,no,
MKD,MKD,North Macedonia,country,yes,807,North Macedonia,reviewed,yes,yes,
MLI,MLI,Mali,country,yes,466,Mali,reviewed,yes,yes,
MMR,MMR,Myanmar,country,yes,104,Myanmar,reviewed,yes,yes,
MNE,MNE,Montenegro,country,yes,499,Montenegro,reviewed,yes,yes,
MNG,MNG,Mongolia,country,yes,496,Mongolia,reviewed,yes,yes,
MNP,MNP,Northern Mariana Islands,country,yes,580,Northern Mariana Islands,reviewed,no,no,
MOZ,MOZ,Mozambique,country,yes,508,Mozambique,reviewed,yes,yes,
MRT,MRT,Mauritania,country,yes,478,Mauritania,reviewed,yes,yes,
MSR,MSR,Montserrat,country,yes,500,Montserrat,reviewed,no,no,
MTQ,MTQ,Martinique,country,yes,474,Martinique,reviewed,yes,yes,
MUS,MUS,Mauritius,country,yes,480,Mauritius,reviewed,yes,yes,
MWI,MWI,Malawi,country,yes,454,Malawi,reviewed,yes,yes,
MYS,MYS,Malaysia,country,yes,458,Malaysia,reviewed,yes,yes,
MYT,MYT,Mayotte,country,yes,175,Mayotte,reviewed,no,no,
NAM,NAM,Namibia,country,yes,516,Namibia,reviewed,yes,yes,
NCL,NCL,New Caledonia,country,yes,540,New Caledonia,reviewed,no,no,
NER,NER,Niger,country,yes,562,Niger,reviewed,yes,yes,
NFK,NFK,Norfolk Island,country,yes,574,Norfolk Island,reviewed,no,no,
NGA,NGA,Nigeria,country,yes,566,Nigeria,reviewed,yes,yes,
NIC,NIC,Nicaragua,country,yes,558,Nicaragua,reviewed,yes,yes,
NIU,NIU,Niue,country,yes,570,Niue,reviewed,no,no,
NOR,NOR,Norway,country,yes,578,Norway,reviewed,yes,yes,
NPL,NPL,Nepal,country,yes,524,Nepal,reviewed,yes,yes,
NRU,NRU,Nauru,country,yes,520,Nauru,reviewed,no,no,
NZL,NZL,New Zealand,country,yes,554,New Zealand,reviewed,yes,yes,
OMN,OMN,Oman,country,yes,512,Oman,reviewed,yes,yes,
PAK,PAK,Pakistan,country,yes,586,Pakistan,reviewed,yes,yes,
PAN,PAN,Panama,country,yes,591,Panama,reviewed,yes,yes,
PCN,PCN,Pitcairn,country,yes,612,Pitcairn,reviewed,no,no,
PER,PER,Peru,country,yes,604,Peru,reviewed,yes,yes,
PHL,PHL,Philippines,country,yes,608,Philippines,reviewed,yes,yes,
PLW,PLW,Palau,country,yes,585,Palau,reviewed,no,no,
