year,reporter_id,reporter_name,total_pairs,agreement_pairs,bilateralized_pairs,agreement_pair_coverage_pct,total_trade_value_usd_m,agreement_trade_value_usd_m,bilateralized_trade_value_usd_m,overall_trade_bilateralized_share_pct,agreement_trade_bilateralized_share_pct
2023,MOZ,Mozambique,166,6,0,0.0,10066.955,2443.016,0.0,0.0,0.0
2023,MMR,Myanmar,166,14,0,0.0,16353.918,14523.524,0.0,0.0,0.0
2023,NAM,Namibia,166,57,0,0.0,7053.648,3299.247,0.0,0.0,0.0
2023,NPL,Nepal,166,0,0,,11952.387,0.0,0.0,0.0,
2023,NZL,New Zealand,166,127,0,0.0,49689.596,36149.44,0.0,0.0,0.0
2023,NIC,Nicaragua,166,13,0,0.0,8337.803,5225.377,0.0,0.0,0.0
2023,NER,Niger,166,12,0,0.0,3146.925,360.735,0.0,0.0,0.0
2023,NGA,Nigeria,166,13,0,0.0,64482.172,304.764,0.0,0.0,0.0
2023,MKD,North Macedonia,166,9,0,0.0,11153.867,2611.655,0.0,0.0,0.0
2023,NOR,Norway,166,139,0,0.0,94786.699,31907.671,0.0,0.0,0.0
2023,OMN,Oman,166,23,0,0.0,38696.891,22321.701,0.0,0.0,0.0
2023,PAK,Pakistan,166,12,0,0.0,54852.685,21210.865,0.0,0.0,0.0
2023,PAN,Panama,166,0,0,,10312.906,0.0,0.0,0.0,
2023,PNG,Papua New Guinea,166,0,0,,5887.101,0.0,0.0,0.0,
2023,PRY,Paraguay,166,14,0,0.0,14825.818,6003.605,0.0,0.0,0.0
2023,PER,Peru,166,25,0,0.0,51729.908,42056.057,0.0,0.0,0.0
2023,PHL,Philippines,166,19,0,0.0,121285.656,94101.829,0.0,0.0,0.0
2023,QAT,Qatar,166,18,0,0.0,30425.437,4309.065,0.0,0.0,0.0
2023,RUS,Russia,166,0,0,,0.0,0.0,0.0,,
2023,RWA,Rwanda,166,0,0,,3588.848,0.0,0.0,0.0,
2023,KNA,Saint Kitts and Nevis,166,0,0,,0.0,0.0,0.0,,
2023,LCA,Saint Lucia,166,0,0,,0.0,0.0,0.0,,
2023,VCT,Saint Vincent and the Grenadines,166,14,0,0.0,454.35,104.193,0.0,0.0,0.0
2023,WSM,Samoa,166,0,0,,470.332,0.0,0.0,0.0,
2023,STP,Sao Tome and Principe,166,0,0,,183.527,0.0,0.0,0.0,
2023,SAU,Saudi Arabia,166,0,0,,201499.736,0.0,0.0,0.0,
2023,SEN,Senegal,166,14,0,0.0,11711.251,1219.425,0.0,0.0,0.0
2023,SRB,Serbia,166,0,0,,0.0,0.0,0.0,,
2023,SYC,Seychelles,166,24,0,0.0,1460.739,167.378,0.0,0.0,0.0
2023,SLE,Sierra Leone,166,0,0,,0.0,0.0,0.0,,
2023,SGP,Singapore,166,35,0,0.0,373489.861,313496.805,0.0,0.0,0.0
2023,SLB,Solomon Islands,166,0,0,,0.0,0.0,0.0,,
2023,SOM,Somalia,166,0,0,,0.0,0.0,0.0,,
2023,ZAF,South Africa,166,58,0,0.0,105238.991,13197.964,0.0,0.0,0.0
2023,KOR,South Korea,166,93,0,0.0,614822.012,445813.67,0.0,0.0,0.0
2023,SSD,South Sudan,166,0,0,,0.0,0.0,0.0,,
2023,LKA,Sri Lanka,166,41,0,0.0,16083.772,9589.149,0.0,0.0,0.0
2023,SDN,Sudan,166,0,0,,0.0,0.0,0.0,,
2023,SUR,Suriname,166,13,0,0.0,1674.895,360.699,0.0,0.0,0.0
2023,CHE,Switzerland,166,142,0,0.0,363939.04,132976.309,0.0,0.0,0.0
2023,SYR,Syrian Arab Republic,166,0,0,,0.0,0.0,0.0,,
2023,TJK,Tajikistan,166,0,0,,4226.873,0.0,0.0,0.0,
2023,TZA,"Tanzania, United Republic of",166,15,0,0.0,15016.773,1302.255,0.0,0.0,0.0
2023,THA,Thailand,166,57,0,0.0,268521.992,178527.217,0.0,0.0,0.0
2023,TLS,Timor-Leste,166,0,0,,815.268,0.0,0.0,0.0,
2023,TGO,Togo,166,14,0,0.0,3043.903,428.109,0.0,0.0,0.0
2023,TON,Tonga,166,0,0,,309.393,0.0,0.0,0.0,
2023,TTO,Trinidad and Tobago,166,0,0,,8903.268,0.0,0.0,0.0,
2023,TUN,Tunisia,166,0,0,,24862.476,0.0,0.0,0.0,
2023,TUR,Turkey,166,110,0,0.0,358866.75,108220.716,0.0,0.0,0.0
2023,TKM,Turkmenistan,166,0,0,,0.0,0.0,0.0,,
2023,UGA,Uganda,166,16,0,0.0,11764.137,2330.036,0.0,0.0,0.0
2023,UKR,Ukraine,166,17,0,0.0,63216.795,4441.578,0.0,0.0,0.0
2023,ARE,United Arab Emirates,166,25,0,0.0,388445.426,76465.747,0.0,0.0,0.0
2023,GBR,United Kingdom,166,120,0,0.0,728659.467,177647.696,0.0,0.0,0.0
2023,USA,United States,166,122,0,0.0,2856155.264,1487535.258,0.0,0.0,0.0
2023,UMI,United States Minor Outlying Islands,166,0,0,,0.0,0.0,0.0,,
2023,URY,Uruguay,166,14,0,0.0,12395.076,5335.666,0.0,0.0,0.0
2023,UZB,Uzbekistan,166,0,0,,36511.194,0.0,0.0,0.0,
2023,VUT,Vanuatu,166,0,0,,0.0,0.0,0.0,,
2023,VEN,"Venezuela, Bolivarian Republic of",166,0,0,,0.0,0.0,0.0,,
2023,VNM,Viet Nam,166,23,0,0.0,300027.581,246819.114,0.0,0.0,0.0
2023,YEM,Yemen,166,0,0,,0.0,0.0,0.0,,
2023,ZMB,Zambia,166,14,0,0.0,10109.369,3544.653,0.0,0.0,0.0
2023,ZWE,Zimbabwe,166,0,0,,8992.93,0.0,0.0,0.0,
