year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes,reporter_mfn_weighted_applied_tariff_pct,reporter_mfn_simple_avg_effectively_applied_pct,bilateral_preferential_tariff_pct,bilateral_simple_avg_tariff_pct,tariff_basis,preference_source_label,preference_source_url,preference_notes
2023,AUS__IDN,Australia imports from Indonesia,AUS,AUS,Australia,IDN,IDN,Indonesia,3704284828.65823,3704.28482865823,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__IND,Australia imports from India,AUS,AUS,Australia,IND,IND,India,6235166399.69944,6235.16639969944,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__JPN,Australia imports from Japan,AUS,AUS,Australia,JPN,JPN,Japan,17360438604.4055,17360.4386044055,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__KOR,Australia imports from South Korea,AUS,AUS,Australia,KOR,KOR,South Korea,18043937526.622,18043.937526622,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__MEX,Australia imports from Mexico,AUS,AUS,Australia,MEX,MEX,Mexico,2812755568.6718,2812.7555686718,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__RUS,Australia imports from Russia,AUS,AUS,Australia,RUS,RUS,Russia,7541409.1019113,7.5414091019113,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__SAU,Australia imports from Saudi Arabia,AUS,AUS,Australia,SAU,SAU,Saudi Arabia,663225177.686081,663.225177686081,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__TUR,Australia imports from Turkey,AUS,AUS,Australia,TUR,TUR,Turkey,1010158670.56771,1010.15867056771,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__USA,Australia imports from United States,AUS,AUS,Australia,USA,USA,United States,30813971848.9026,30813.971848902598,2.500,2.400,1,2.0,0.0,90.0,88.000,yes,AUSFTA,Australia-United States Free Trade Agreement,substantially_all_goods,2005-01-01,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,manual_placeholder,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data. | FTA reverse-direction pair.,2.500,2.400,,,reporter_mfn_fallback,,,
2023,AUS__ZAF,Australia imports from South Africa,AUS,AUS,Australia,ZAF,ZAF,South Africa,1059182108.28996,1059.18210828996,2.500,2.400,0,0.0,0.0,90.0,90.000,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,2.500,2.400,,,reporter_mfn_fallback,,,
