year,reporter_id,reporter_name_wto,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average_mfn_pct,trade_weighted_mfn_pct,duty_free_share_ratio
2024,CAF,Central African Republic,,,MFN,MFN applied,TOTAL,All products,18.1,16.2,
2024,LKA,Sri Lanka,,,MFN,MFN applied,TOTAL,All products,8.4,7.2,
2024,CHL,Chile,,,MFN,MFN applied,TOTAL,All products,6.0,6.0,
2024,CHN,China,,,MFN,MFN applied,TOTAL,All products,7.5,3.3,
2024,COL,Colombia,,,MFN,MFN applied,TOTAL,All products,6.7,6.8,
2024,COM,Comoros,,,MFN,MFN applied,TOTAL,All products,15.1,7.9,
2024,COG,Congo,,,MFN,MFN applied,TOTAL,All products,18.1,13.6,
2024,COD,Democratic Republic of the Congo,,,MFN,MFN applied,TOTAL,All products,10.9,8.4,
2024,CRI,Costa Rica,,,MFN,MFN applied,TOTAL,All products,6.4,5.0,
2024,CUB,Cuba,,,MFN,MFN applied,TOTAL,All products,4.4,3.6,
2024,BEN,Benin,,,MFN,MFN applied,TOTAL,All products,12.0,11.2,
2024,DMA,Dominica,,,MFN,MFN applied,TOTAL,All products,10.7,15.9,
2024,DOM,Dominican Republic,,,MFN,MFN applied,TOTAL,All products,7.6,8.8,
2024,ECU,Ecuador,,,MFN,MFN applied,TOTAL,All products,10.9,6.8,
2024,SLV,El Salvador,,,MFN,MFN applied,TOTAL,All products,5.7,6.8,
2024,ETH,Ethiopia,,,MFN,MFN applied,TOTAL,All products,17.0,11.3,
2024,FJI,Fiji,,,MFN,MFN applied,TOTAL,All products,8.4,9.2,
2024,GAB,Gabon,,,MFN,MFN applied,TOTAL,All products,18.1,13.8,
2024,GEO,Georgia,,,MFN,MFN applied,TOTAL,All products,1.4,1.6,
2024,GMB,The Gambia,,,MFN,MFN applied,TOTAL,All products,12.0,12.6,
2024,GHA,Ghana,,,MFN,MFN applied,TOTAL,All products,12.0,9.9,
2024,GRD,Grenada,,,MFN,MFN applied,TOTAL,All products,11.0,13.3,
2024,GTM,Guatemala,,,MFN,MFN applied,TOTAL,All products,5.5,5.2,
2024,GIN,Guinea,,,MFN,MFN applied,TOTAL,All products,12.0,11.6,
2024,GUY,Guyana,,,MFN,MFN applied,TOTAL,All products,11.7,10.4,
2024,HND,Honduras,,,MFN,MFN applied,TOTAL,All products,5.6,7.6,
2024,HKG,"Hong Kong, China",,,MFN,MFN applied,TOTAL,All products,0.0,0.0,
2024,ISL,Iceland,,,MFN,MFN applied,TOTAL,All products,2.8,2.6,
2024,IND,India,,,MFN,MFN applied,TOTAL,All products,16.2,12.0,
2024,IDN,Indonesia,,,MFN,MFN applied,TOTAL,All products,8.0,5.7,
2024,IRN,Iran,,,MFN,MFN applied,TOTAL,All products,20.1,12.9,
2024,ISR,Israel,,,MFN,MFN applied,TOTAL,All products,1.3,3.6,
2024,CIV,C¶te d'Ivoire,,,MFN,MFN applied,TOTAL,All products,12.0,7.8,
2024,JAM,Jamaica,,,MFN,MFN applied,TOTAL,All products,8.5,9.8,
2024,JPN,Japan,,,MFN,MFN applied,TOTAL,All products,3.7,1.9,
2024,KAZ,Kazakhstan,,,MFN,MFN applied,TOTAL,All products,5.6,5.3,
2024,JOR,Jordan,,,MFN,MFN applied,TOTAL,All products,4.0,4.0,
2024,KEN,Kenya,,,MFN,MFN applied,TOTAL,All products,14.8,14.0,
2024,KOR,"Korea, Republic of",,,MFN,MFN applied,TOTAL,All products,13.4,8.5,
2024,KWT,"Kuwait, the State of",,,MFN,MFN applied,TOTAL,All products,4.7,4.6,
2024,KGZ,Kyrgyz Republic,,,MFN,MFN applied,TOTAL,All products,6.4,6.2,
2024,LAO,Lao People's Democratic Republic,,,MFN,MFN applied,TOTAL,All products,8.6,8.0,
2024,LBN,Lebanese Republic,,,MFN,MFN applied,TOTAL,All products,10.8,7.2,
2024,LSO,Lesotho,,,MFN,MFN applied,TOTAL,All products,7.5,9.8,
2024,LBR,Liberia,,,MFN,MFN applied,TOTAL,All products,12.0,11.3,
2024,MAC,"Macao, China",,,MFN,MFN applied,TOTAL,All products,0.0,0.0,
2024,MDG,Madagascar,,,MFN,MFN applied,TOTAL,All products,12.0,8.7,
2024,MWI,Malawi,,,MFN,MFN applied,TOTAL,All products,12.2,8.2,
2024,MYS,Malaysia,,,MFN,MFN applied,TOTAL,All products,5.5,3.5,
2024,MDV,Maldives,,,MFN,MFN applied,TOTAL,All products,11.7,11.1,
2024,MLI,Mali,,,MFN,MFN applied,TOTAL,All products,12.0,10.5,
2024,MRT,Mauritania,,,MFN,MFN applied,TOTAL,All products,12.0,10.2,
2024,MUS,Mauritius,,,MFN,MFN applied,TOTAL,All products,0.8,1.5,
2024,MEX,Mexico,,,MFN,MFN applied,TOTAL,All products,7.4,5.4,
2024,MNG,Mongolia,,,MFN,MFN applied,TOTAL,All products,5.2,5.3,
2024,MDA,"Moldova, Republic of",,,MFN,MFN applied,TOTAL,All products,5.4,4.1,
2024,MAR,Morocco,,,MFN,MFN applied,TOTAL,All products,12.3,12.6,
2024,MOZ,Mozambique,,,MFN,MFN applied,TOTAL,All products,10.3,6.9,
2024,OMN,Oman,,,MFN,MFN applied,TOTAL,All products,5.6,5.8,
2024,NAM,Namibia,,,MFN,MFN applied,TOTAL,All products,7.5,7.6,
2024,NPL,Nepal,,,MFN,MFN applied,TOTAL,All products,12.9,13.2,
2024,NZL,New Zealand,,,MFN,MFN applied,TOTAL,All products,1.9,2.2,
2024,NIC,Nicaragua,,,MFN,MFN applied,TOTAL,All products,5.6,6.5,
2024,NER,Niger,,,MFN,MFN applied,TOTAL,All products,12.0,9.6,
2024,NGA,Nigeria,,,MFN,MFN applied,TOTAL,All products,12.0,10.3,
2024,NOR,Norway,,,MFN,MFN applied,TOTAL,All products,4.4,2.2,
2024,PAK,Pakistan,,,MFN,MFN applied,TOTAL,All products,10.3,7.3,
2024,PAN,Panama,,,MFN,MFN applied,TOTAL,All products,5.1,4.9,
2024,PNG,Papua New Guinea,,,MFN,MFN applied,TOTAL,All products,4.1,2.4,
2024,PRY,Paraguay,,,MFN,MFN applied,TOTAL,All products,8.6,5.8,
2024,PER,Peru,,,MFN,MFN applied,TOTAL,All products,2.3,1.7,
2024,PHL,Philippines,,,MFN,MFN applied,TOTAL,All products,6.0,6.0,
2024,TLS,Timor-Leste,,,MFN,MFN applied,TOTAL,All products,2.5,2.6,
2024,QAT,Qatar,,,MFN,MFN applied,TOTAL,All products,4.7,4.1,
2024,RUS,Russian Federation,,,MFN,MFN applied,TOTAL,All products,6.6,5.3,
2024,RWA,Rwanda,,,MFN,MFN applied,TOTAL,All products,13.8,14.1,
2024,KNA,Saint Kitts and Nevis,,,MFN,MFN applied,TOTAL,All products,9.2,15.3,
2024,LCA,Saint Lucia,,,MFN,MFN applied,TOTAL,All products,9.2,12.5,
2024,VCT,Saint Vincent and the Grenadines,,,MFN,MFN applied,TOTAL,All products,10.8,13.1,
2024,STP,Sao Tomé and Principe,,,MFN,MFN applied,TOTAL,All products,9.9,10.0,
2024,SAU,"Saudi Arabia, Kingdom of",,,MFN,MFN applied,TOTAL,All products,5.9,5.6,
2024,SEN,Senegal,,,MFN,MFN applied,TOTAL,All products,12.0,9.0,
2024,SYC,Seychelles,,,MFN,MFN applied,TOTAL,All products,2.6,4.4,
2024,SLE,Sierra Leone,,,MFN,MFN applied,TOTAL,All products,12.0,13.2,
2024,SGP,Singapore,,,MFN,MFN applied,TOTAL,All products,0.0,0.0,
2024,VNM,Viet Nam,,,MFN,MFN applied,TOTAL,All products,9.5,5.1,
2024,ZAF,South Africa,,,MFN,MFN applied,TOTAL,All products,7.5,5.6,
2024,ZWE,Zimbabwe,,,MFN,MFN applied,TOTAL,All products,18.0,14.8,
2024,SUR,Suriname,,,MFN,MFN applied,TOTAL,All products,10.4,9.9,
2024,SWZ,Eswatini,,,MFN,MFN applied,TOTAL,All products,7.5,8.2,
2024,CHE,Switzerland,,,MFN,MFN applied,TOTAL,All products,3.9,1.5,
2024,TJK,Tajikistan,,,MFN,MFN applied,TOTAL,All products,8.0,6.4,
2024,THA,Thailand,,,MFN,MFN applied,TOTAL,All products,9.9,7.4,
2024,TGO,Togo,,,MFN,MFN applied,TOTAL,All products,12.0,12.1,
2024,TON,Tonga,,,MFN,MFN applied,TOTAL,All products,10.7,4.8,
2024,TTO,Trinidad and Tobago,,,MFN,MFN applied,TOTAL,All products,8.2,8.1,
2024,ARE,United Arab Emirates,,,MFN,MFN applied,TOTAL,All products,4.7,3.2,
2024,TUN,Tunisia,,,MFN,MFN applied,TOTAL,All products,19.4,15.2,
2024,TUR,T³rkiye,,,MFN,MFN applied,TOTAL,All products,17.3,7.0,
2024,UGA,Uganda,,,MFN,MFN applied,TOTAL,All products,15.8,13.5,
2024,UKR,Ukraine,,,MFN,MFN applied,TOTAL,All products,4.3,3.5,
2024,MKD,North Macedonia,,,MFN,MFN applied,TOTAL,All products,6.4,6.1,
2024,EGY,Egypt,,,MFN,MFN applied,TOTAL,All products,19.0,12.4,
2024,GBR,United Kingdom,,,MFN,MFN applied,TOTAL,All products,3.7,3.6,
2024,TZA,Tanzania,,,MFN,MFN applied,TOTAL,All products,14.2,10.6,
2024,USA,United States of America,,,MFN,MFN applied,TOTAL,All products,3.3,2.2,
2024,BFA,Burkina Faso,,,MFN,MFN applied,TOTAL,All products,12.0,9.5,
2024,URY,Uruguay,,,MFN,MFN applied,TOTAL,All products,9.0,8.4,
2024,UZB,Uzbekistan,,,MFN,MFN applied,TOTAL,All products,7.3,4.7,
2024,WSM,Samoa,,,MFN,MFN applied,TOTAL,All products,11.3,8.9,
2024,ZMB,Zambia,,,MFN,MFN applied,TOTAL,All products,14.5,11.1,
2024,EU,European Union,,,MFN,MFN applied,TOTAL,All products,5.0,2.8,
