logical_dataset,batch_id,provider,enabled_flag,request_url,output_filename,auth_location,auth_name,subscription_env_var,timeout_seconds,notes
mfn_simple_average_all_products,USA_2024,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2024,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2024
mfn_simple_average_all_products,USA_2023,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2023,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2023
mfn_simple_average_all_products,USA_2022,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2022,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2022
mfn_simple_average_all_products,USA_2021,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2021,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2021
mfn_simple_average_all_products,USA_2020,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2020,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2020
mfn_simple_average_all_products,USA_2019,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2019,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2019
mfn_simple_average_all_products,USA_2018,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2018,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2018
mfn_simple_average_all_products,USA_2017,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2017,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2017
mfn_simple_average_all_products,USA_2016,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2016,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2016
mfn_simple_average_all_products,USA_2015,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2015,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2015
mfn_simple_average_all_products,USA_2014,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2014,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2014
mfn_simple_average_all_products,USA_2013,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2013,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2013
mfn_simple_average_all_products,USA_2012,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2012,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2012
mfn_simple_average_all_products,USA_2011,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2011,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2011
mfn_simple_average_all_products,USA_2010,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2010,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2010
mfn_simple_average_all_products,USA_2009,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2009,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2009
mfn_simple_average_all_products,USA_2008,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2008,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2008
mfn_simple_average_all_products,USA_2007,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2007,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2007
mfn_simple_average_all_products,USA_2006,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2006,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2006
mfn_simple_average_all_products,USA_2005,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2005,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2005
mfn_simple_average_all_products,USA_2004,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2004,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2004
mfn_simple_average_all_products,USA_2003,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2003,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2003
mfn_simple_average_all_products,USA_2002,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2002,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2002
mfn_simple_average_all_products,USA_2001,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2001,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2001
mfn_simple_average_all_products,USA_2000,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=2000,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=2000
mfn_simple_average_all_products,USA_1999,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=1999,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=1999
mfn_simple_average_all_products,USA_1998,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=1998,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=1998
mfn_simple_average_all_products,USA_1997,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=1997,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=1997
mfn_simple_average_all_products,USA_1996,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=840&ps=1996,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=United States | year=1996
mfn_simple_average_all_products,TUR_2026,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2026,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2026
mfn_simple_average_all_products,TUR_2025,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2025,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2025
mfn_simple_average_all_products,TUR_2024,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2024,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2024
mfn_simple_average_all_products,TUR_2023,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2023,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2023
mfn_simple_average_all_products,TUR_2022,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2022,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2022
mfn_simple_average_all_products,TUR_2021,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2021,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2021
mfn_simple_average_all_products,TUR_2020,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2020,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2020
mfn_simple_average_all_products,TUR_2019,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2019,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2019
mfn_simple_average_all_products,TUR_2018,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2018,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2018
mfn_simple_average_all_products,TUR_2017,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2017,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2017
mfn_simple_average_all_products,TUR_2016,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2016,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2016
mfn_simple_average_all_products,TUR_2015,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2015,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2015
mfn_simple_average_all_products,TUR_2014,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2014,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2014
mfn_simple_average_all_products,TUR_2013,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2013,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2013
mfn_simple_average_all_products,TUR_2012,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2012,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2012
mfn_simple_average_all_products,TUR_2011,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2011,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2011
mfn_simple_average_all_products,TUR_2010,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2010,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2010
mfn_simple_average_all_products,TUR_2009,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2009,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2009
mfn_simple_average_all_products,TUR_2008,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2008,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2008
mfn_simple_average_all_products,TUR_2007,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2007,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2007
mfn_simple_average_all_products,TUR_2006,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2006,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2006
mfn_simple_average_all_products,TUR_2005,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2005,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2005
mfn_simple_average_all_products,TUR_2004,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2004,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2004
mfn_simple_average_all_products,TUR_2003,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2003,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2003
mfn_simple_average_all_products,TUR_2002,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2002,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2002
mfn_simple_average_all_products,TUR_2001,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2001,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2001
mfn_simple_average_all_products,TUR_2000,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=2000,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=2000
mfn_simple_average_all_products,TUR_1999,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=1999,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=1999
mfn_simple_average_all_products,TUR_1998,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=1998,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=1998
mfn_simple_average_all_products,TUR_1997,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=1997,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=1997
mfn_simple_average_all_products,TUR_1996,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=792&ps=1996,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Turkey | year=1996
